period,metric,value,
2026-01-01,Revenue,350000,
2026-01-01,Gross Profit,100000,
2026-01-01,Operating Expenses,25000,
2026-01-01,Net Profit,75000,
2026-01-01,Gross Profit Ratio,0.285714286,
2026-01-01,Operating Expense Ratio,0.071428571,
2025-12-01,Revenue,340000,
2025-12-01,Gross Profit,100000,
2025-12-01,Operating Expenses,25000,
2025-12-01,Net Profit,75000,
2025-12-01,Gross Profit Ratio,0.294117647,
2025-12-01,Operating Expense Ratio,0.073529412,
2025-11-01,Revenue,330000,
2025-11-01,Gross Profit,90000,
2025-11-01,Operating Expenses,26000,
2025-11-01,Net Profit,64000,
2025-11-01,Gross Profit Ratio,0.272727273,
2025-11-01,Operating Expense Ratio,0.078787879,
2025-10-01,Revenue,360000,
2025-10-01,Gross Profit,115000,
2025-10-01,Operating Expenses,25000,
2025-10-01,Net Profit,90000,
2025-10-01,Gross Profit Ratio,0.319444444,
2025-10-01,Operating Expense Ratio,0.069444444,
2025-09-01,Revenue,320000,
2025-09-01,Gross Profit,90000,
2025-09-01,Operating Expenses,24000,
2025-09-01,Net Profit,66000,
2025-09-01,Gross Profit Ratio,0.28125,
2025-09-01,Operating Expense Ratio,0.075,
2025-08-01,Revenue,315000,
2025-08-01,Gross Profit,80000,
2025-08-01,Operating Expenses,25000,
2025-08-01,Net Profit,55000,
2025-08-01,Gross Profit Ratio,0.253968254,
2025-08-01,Operating Expense Ratio,0.079365079,
2025-07-01,Revenue,310000,
2025-07-01,Gross Profit,80000,
2025-07-01,Operating Expenses,24000,
2025-07-01,Net Profit,56000,
2025-07-01,Gross Profit Ratio,0.258064516,
2025-07-01,Operating Expense Ratio,0.077419355,